stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
98,,"Ciudad Deportiva Gran Canaria",,28.07688791,-15.41736078,,,,,,
93,,"Blas Cabrera Felipe (parking hosp. Materno Insular)",,28.08032414,-15.41840691,,,,,,
96,,"Blas Cabrera Felipe (parking hosp. Materno Insular)",,28.08043842,-15.41829497,,,,,,
97,,"Blas Cabrera Felipe, 14",,28.07446335,-15.41732327,,,,,,
100,,"Blas Cabrera Felipe, frente 16",,28.07450714,-15.41717853,,,,,,
92,,"Blas Cabrera Felipe, frente 306",,28.08463518,-15.41905269,,,,,,
536,,"Buenos Aires, 43",,28.10709462,-15.42001072,,,,,,
480,,"Camilo Martinón Navarro (Tiscamanita)",,28.07608398,-15.46347002,,,,,,
754,,"Camilo Martinón Navarro, 3",,28.07652896,-15.46357315,,,,,,
430,,"Camilo Martinón Navarro, 30",,28.07477489,-15.46373875,,,,,,
422,,"Camilo Martinón Navarro, 52",,28.07471091,-15.46515619,,,,,,
758,,"Camilo Martinón Navarro, 69",,28.07463111,-15.46513073,,,,,,
756,,"Camilo Martinón Navarro, frente 32",,28.07466924,-15.46391156,,,,,,
183,,"Camino al Polvorín (plaza del Sol Naciente)",,28.09671206,-15.42018084,,,,,,
179,,"Camino al Polvorín, 10",,28.09524628,-15.42247002,,,,,,
181,,"Camino al Polvorín, 42",,28.09608061,-15.42131482,,,,,,
487,,"Camino Viejo El Cardón, 1",,28.11941500,-15.44806500,,,,,,
551,,"Camino Viejo El Cardón, 55",,28.11801235,-15.45262649,,,,,,
549,,"Camino Viejo El Cardón, frente 74",,28.11585100,-15.45487100,,,,,,
159,,"Candelaria de León, 6",,28.07032976,-15.41922959,,,,,,
178,,"Candelaria de León, 7",,28.07017480,-15.41921664,,,,,,
47,,"Carlos Mauricio Blandy (pl. Arucas)",,28.11577356,-15.43421690,,,,,,
334,,"Carmen Quintana, 1",,28.10222300,-15.43201100,,,,,,
336,,"Carmen Quintana, 33",,28.10144835,-15.43394440,,,,,,
338,,"Carmen Quintana, 71",,28.09997865,-15.43485403,,,,,,
335,,"Carmen Quintana, frente 1",,28.10226217,-15.43211517,,,,,,
337,,"Carmen Quintana, frente 35",,28.10151622,-15.43398566,,,,,,
339,,"Carmen Quintana, frente 73",,28.10005500,-15.43491200,,,,,,
406,,"Castillejos, 23",,28.12993446,-15.44268981,,,,,,
408,,"Castillejos, 71",,28.12824465,-15.44480135,,,,,,
626,,"Castillo, 16",,28.09950100,-15.41753469,,,,,,
733,,"César Manrique, 12",,28.09800545,-15.46837286,,,,,,
724,,"César Manrique, 3",,28.09780817,-15.46847127,,,,,,
701,,"César Manrique, 88",,28.09950811,-15.47030666,,,,,,
728,,"César Manrique, frente 102",,28.09991275,-15.47115522,,,,,,
182,,"Concejal Andrés Alvarado Janina (local social Hoya de La Plata)",,28.06969261,-15.42102707,,,,,,
163,,"Concejal Andrés Alvarado Janina (local social Hoya de La Plata)",,28.06966982,-15.42126531,,,,,,
110,,"Córdoba (Bomberos Vegueta)",,28.09516036,-15.41510221,,,,,,
644,,"Córdoba (Bomberos Vegueta)",,28.09487132,-15.41543186,,,,,,
114,,"Córdoba, 19",,28.09374441,-15.41623797,,,,,,
116,,"Córdoba, 29",,28.09082700,-15.41811200,,,,,,
107,,"Córdoba, 40",,28.09290025,-15.41693040,,,,,,
118,,"Córdoba, 49",,28.08812433,-15.41941941,,,,,,
115,,"Córdoba, 54",,28.08596377,-15.41783781,,,,,,
120,,"Córdoba, 71",,28.08606261,-15.41790526,,,,,,
109,,"Córdoba, frente 31",,28.09073300,-15.41828000,,,,,,
113,,"Córdoba, frente 49",,28.08798671,-15.41958822,,,,,,
290,,"Coronel Rocha (Nueva Isleta)",,28.15538700,-15.43076400,,,,,,
402,,"Costa Rica, frente 33",,28.13057562,-15.44015525,,,,,,
386,,"Cronista Martín Moreno, 8",,28.09692058,-15.44439660,,,,,,
332,,"Cruz de Piedra, 9",,28.10293172,-15.43062065,,,,,,
333,,"Cruz de Piedra, frente 7",,28.10314688,-15.43046581,,,,,,
442,,"Cruz del Ovejero, 28",,28.09851349,-15.47743023,,,,,,
797,,"Cuesta Blanca, 34",,28.09367700,-15.46115900,,,,,,
780,,"Cuesta Blanca, 41",,28.09286381,-15.46101353,,,,,,
778,,"Cuesta Blanca, 9",,28.09474800,-15.46049100,,,,,,
795,,"Cuesta Blanca, frente 11",,28.09462127,-15.46060914,,,,,,
60,,"Deán Rodríguez Bolaños (pl. Alvarado y Saz)",,28.11156399,-15.43705665,,,,,,
130,,"Debussy, 3",,28.07273227,-15.42186143,,,,,,
132,,"Debussy, 9",,28.07347930,-15.41973092,,,,,,
134,,"Debussy, frente 6",,28.07400084,-15.41829179,,,,,,
74,,"Diego Betancor Suárez, 19",,28.10923171,-15.44557088,,,,,,
76,,"Diego Betancor Suárez, 39",,28.11203572,-15.44494150,,,,,,
943,,"Doctor Juan Domínguez Pérez (El Sebadal)",,28.16149456,-15.41070618,,,,,,
557,,"Dr. Juan Domínguez Pérez, 18",,28.15967767,-15.41215611,,,,,,
555,,"Dr. Juan Domínguez Pérez, 2",,28.15650663,-15.41538347,,,,,,
554,,"Dr. Juan Domínguez Pérez, 25",,28.15831285,-15.41383490,,,,,,
568,,"Dr. Juan Domínguez Pérez, 49",,28.16023381,-15.41189860,,,,,,
451,,"Dr. Sventenius",,28.08093765,-15.41865902,,,,,,
125,,"Doctor Sventenius, frente 16",,28.08313978,-15.41951119,,,,,,
300,,"Don Pedro Infinito (iglesia Los Dolores)",,28.11232600,-15.42906100,,,,,,
363,,"Don Pedro Infinito, 120",,28.10844300,-15.43469500,,,,,,
365,,"Don Pedro Infinito, 152",,28.10767575,-15.43613000,,,,,,
367,,"Don Pedro Infinito, 194",,28.10659205,-15.43822767,,,,,,
369,,"Don Pedro Infinito, 204",,28.10592524,-15.43969466,,,,,,
291,,"Don Pedro Infinito, 24",,28.11040879,-15.43102190,,,,,,
328,,"Don Pedro Infinito, 54",,28.10967636,-15.43237290,,,,,,
774,,"Dña. Juana Marrero, 11",,28.10765133,-15.46202826,,,,,,
776,,"Dña. Juana Marrero, 61",,28.10821900,-15.46306500,,,,,,
783,,"Dña. Juana Marrero, 70",,28.10829807,-15.46345084,,,,,,
781,,"Dña. Juana Marrero, frente 11",,28.10759041,-15.46149909,,,,,,
75,,"Dr. Hernán Pérez de Grado (La Portadilla)",,28.09810802,-15.41754285,,,,,,
73,,"Dr. Hernán Pérez de Grado, 6",,28.09763545,-15.41554878,,,,,,
54,,"Echegaray, 137",,28.11460310,-15.43362667,,,,,,
27,,"Eduardo Benot, frente 23",,28.14386799,-15.42982051,,,,,,
25,,"Eduardo Benot, frente 5",,28.14202296,-15.43004693,,,,,,
292,,"Eduardo Peñate Santana, local 4",,28.15446770,-15.42695659,,,,,,
775,,"Olivo (ctra. de Almatriche)",,28.09404400,-15.45892000,,,,,,
397,,"Emilio Arrieta, frente 7",,28.09443851,-15.44963731,,,,,,
266,,"Emilio Ley (parque Doramas)",,28.12133333,-15.43002611,,,,,,
253,,"Emilio Ley (piscinas Julio Navarro)",,28.12150081,-15.43001198,,,,,,
258,,"Ernest Hemingway (colegio El Batán)",,28.09206949,-15.43252514,,,,,,
254,,"Ernest Hemingway, 9",,28.09517777,-15.42963935,,,,,,
256,,"Ernest Hemingway, frente 132",,28.09344848,-15.43113534,,,,,,
640,,"Eufemiano Jurado (Reyes Católicos)",,28.09602409,-15.41454396,,,,,,
634,,"Eufemiano Jurado (Juzgados)",,28.09466289,-15.41355416,,,,,,
78,,"Eufemiano Jurado (Juzgados)",,28.09494749,-15.41372434,,,,,,
80,,"Eufemiano Jurado, frente 32",,28.09611170,-15.41711673,,,,,,
212,,"Fama (Farnesio)",,28.09860764,-15.42558984,,,,,,
195,,"Fama, frente 85",,28.09922864,-15.42649563,,,,,,
161,,"Farmacéutico Arencibia Cabrera (Cofarca)",,28.08892502,-15.43340434,,,,,,
260,,"Farmacéutico Arencibia Cabrera (Cofarca)",,28.08910679,-15.43316805,,,,,,
527,,"Farmacéutico Arencibia Cabrera, 28",,28.08730238,-15.43500149,,,,,,
532,,"Farmacéutico Arencibia Cabrera, frente 18",,28.08753762,-15.43463279,,,,,,
356,,"Farmacéutico Pedro Rivero (Joaquín Belón)",,28.10441357,-15.43709900,,,,,,
315,,"Farmacéutico Pedro Rivero (Polígono Cruz de Piedra)",,28.10202434,-15.43948537,,,,,,
352,,"Farmacéutico Pedro Rivero, 1",,28.10202500,-15.43965100,,,,,,
359,,"Farmacéutico Pedro Rivero, 20",,28.10454731,-15.43637613,,,,,,
208,,"Farnesio, 13",,28.09830503,-15.42431882,,,,,,
210,,"Farnesio, 53",,28.09937855,-15.42584999,,,,,,
191,,"Farnesio, frente 15",,28.09841900,-15.42438100,,,,,,
193,,"Farnesio, frente 59",,28.09958437,-15.42596190,,,,,,
284,,"Faro, 11",,28.14893104,-15.43031036,,,,,,
286,,"Faro, 43",,28.15062150,-15.43064643,,,,,,
288,,"Faro, 99",,28.15299552,-15.43081932,,,,,,
277,,"Felipe Martel (Lindero)",,28.08571029,-15.44230470,,,,,,
488,,"Fernando Guanarteme (pl. Betancores)",,28.13791231,-15.43450775,,,,,,
486,,"Fernando Guanarteme (plta. Farray)",,28.13690609,-15.43560278,,,,,,
413,,"Fernando Guanarteme, 118",,28.13247544,-15.44074408,,,,,,
476,,"Luchana (Lepanto)",,28.12798471,-15.44309903,,,,,,
495,,"Lepanto, 63",,28.12776724,-15.44303675,,,,,,
482,,"Fernando Guanarteme, 62",,28.13425793,-15.43864987,,,,,,
635,,"Fondos de Segura, frente 17",,28.10916323,-15.45309508,,,,,,
129,,"Francisco Inglott Artiles, 6",,28.08407550,-15.42051317,,,,,,
150,,"Francisco Inglott Artiles, 19",,28.08228104,-15.42013262,,,,,,
152,,"Francisco Inglott Artiles, 33",,28.08047426,-15.42022347,,,,,,
274,,"Pío XII, 75",,28.13118786,-15.43299830,,,,,,
259,,"Galicia (Mercado Central)",,28.13367212,-15.43309802,,,,,,
276,,"Galicia (Mercado Central)",,28.13324527,-15.43320134,,,,,,
261,,"Galicia, 32",,28.13519200,-15.43325600,,,,,,
661,,"Galilea, 31",,28.09235342,-15.48558908,,,,,,
618,,"Galilea, 8",,28.09394774,-15.48532654,,,,,,
599,,"Galilea, frente 6",,28.09394067,-15.48525731,,,,,,
972,,"Gavilán (residencial Los Granjeros)",,28.07405429,-15.42840830,,,,,,
607,,"Real del Castillo (hospital Juan Carlos I)",,28.10272338,-15.42396032,,,,,,
351,,"Real del Castillo",,28.10370053,-15.42868714,,,,,,
355,,"Gobernador Marín Acuña, 24",,28.10247257,-15.42409827,,,,,,
353,,"Gobernador Marín Acuña, 50",,28.10347084,-15.42559203,,,,,,
673,,"Guantánamo (Centro P. Salto del Negro)",,28.05927698,-15.43221207,,,,,,
657,,"Guantánamo, 108",,28.05962546,-15.43021447,,,,,,
662,,"Guantánamo, 115",,28.06047293,-15.42745696,,,,,,
664,,"Guantánamo, 165",,28.05956861,-15.43014485,,,,,,
674,,"Guantánamo, 215",,28.05921781,-15.43205363,,,,,,
655,,"Guantánamo, frente 121",,28.06043506,-15.42779674,,,,,,
271,,"Gumidafe, 30",,28.15266359,-15.42790479,,,,,,
768,,"Habana, 27",,28.12935000,-15.43959200,,,,,,
777,,"Habana, 28",,28.12923800,-15.43977800,,,,,,
596,,"Hebrón, 2",,28.10436964,-15.46920083,,,,,,
598,,"Hebrón, 24",,28.10329337,-15.47040944,,,,,,
56,,"Henry Dunant, frente 10",,28.11271420,-15.43530627,,,,,,
384,,"Henry Dunant, frente 42",,28.11153400,-15.43731800,,,,,,
157,,"Hoya de La Plata",,28.06973169,-15.41814313,,,,,,
928,,"Hoya de La Plata",,28.06973169,-15.41814313,,,,,,
670,,"Hoya del Enamorado (IES José Saramago)",,28.10764961,-15.44871867,,,,,,
663,,"Hoya del Enamorado (IES José Saramago)",,28.10762163,-15.44858877,,,,,,
439,,"Ind. José Sánchez Peñate (C.C. Las Arenas)",,28.12804445,-15.44695504,,,,,,
245,,"Ingeniero J. Bosch y Sintes, 1",,28.10846881,-15.42105064,,,,,,
679,,"Isla de La Graciosa, 41",,28.05603648,-15.44585545,,,,,,
677,,"Isla de La Graciosa, frente 42",,28.05671423,-15.44474050,,,,,,
675,,"Isla de La Graciosa, frente 72",,28.05742280,-15.44313758,,,,,,
685,,"Isla de Montaña Clara, frente 5",,28.05536614,-15.44666535,,,,,,
457,,"José Luis Guerra de Armas (Alonso Quijano)",,28.15457010,-15.42824975,,,,,,
440,,"José Luis Guerra de Armas (cruce de Las Coloradas)",,28.15507903,-15.42960237,,,,,,
204,,"Juan de Quesada (Rectorado ULPGC)",,28.09895037,-15.42066098,,,,,,
572,,"Juan Manuel Durán González (El Corte Inglés)",,28.13546790,-15.43258464,,,,,,
316,,"Juan Manuel Durán González, 40",,28.13526596,-15.43549560,,,,,,
31,,"Juan Rejón (Castillo de La Luz)",,28.14917339,-15.42531031,,,,,,
34,,"Juan Rejón, 67",,28.14919242,-15.42595393,,,,,,
30,,"Juan Rejón, 25",,28.14880400,-15.42804790,,,,,,
434,,"Juan Sánchez de la Coba, 16",,28.08093990,-15.41967693,,,,,,
131,,"Juan Sánchez de la Coba, 2",,28.08280144,-15.41980818,,,,,,
331,,"Juan Saraza Ortiz, 14",,28.10318122,-15.43268188,,,,,,
330,,"Juan Saraza Ortiz, frente 7",,28.10326461,-15.43232676,,,,,,
138,,"Juan Sebastian Bach, frente 4",,28.07446831,-15.41934763,,,,,,
665,,"Judas Tadeo (barranquillo)",,28.09091313,-15.48514483,,,,,,
959,,"Judas Tadeo (Isla Perdida)",,28.08957552,-15.48083269,,,,,,
